stock_id,超大单,大单,中单,小单
SH600714,0,6,-2,-1
SH600715,0,-2,-1,1
SH600716,3,0,2,0
SH600717,0,0,0,0
SH600718,4,4,3,0
SH600719,1,9,-1,-2
SH600720,-3,-8,2,0
SH600721,0,-2,8,5
SH600722,0,0,0,0
SH600723,0,6,2,-5
SH600724,0,0,-1,-4
SH600726,0,3,0,0
SH600727,0,4,15,-2
SH600728,0,4,4,-1
SH600729,0,7,9,1
SH600730,1,9,-2,-1
SH600731,0,4,1,-1
SH600736,0,-7,-9,-1
SH600737,-1,-3,-2,1
SH600738,0,-2,8,5
SH600739,0,-3,4,2
SH600740,-1,-3,-4,-3
SH600741,-7,-4,1,1
SH600742,1,0,5,-1
SH600743,0,0,0,0
SH600744,-2,-2,0,1
SH600745,0,1,-4,6
SH600746,1,0,-3,-4
SH600748,0,-1,6,-4
SH600749,0,-3,11,1
SH600750,-2,-7,-3,-1
SH600751,6,4,-5,0
SH600753,0,2,0,8
SH600754,2,10,5,0
SH600755,3,4,0,0
SH600756,0,4,3,2
SH600757,0,0,4,-1
SH600758,1,2,4,0
SH600759,0,0,1,4
SH600760,-4,-3,1,-1
SH600761,6,11,1,1
SH600763,2,4,-4,-1
SH600764,3,7,0,1
SH600765,5,-1,1,-2
SH600766,-1,-3,3,4
SH600767,0,-3,4,4
SH600768,0,6,-1,6
SH600769,0,3,6,7
SH600770,1,3,2,3
SH600771,1,4,-2,2
SH600773,-5,-3,-1,0
SH600774,1,6,4,3
SH600775,0,-1,0,5
SH600776,0,4,3,0
SH600777,0,-3,-2,0
SH600778,0,2,1,-3
SH600779,4,1,3,-1
SH600780,0,-1,-6,-4
SH600781,0,8,2,1
SH600782,6,-2,5,0
SH600783,-2,2,3,2
SH600784,0,2,-1,-2
SH600785,0,1,-4,3
SH600787,0,0,0,0
SH600789,0,2,1,4
SH600790,10,-1,-1,1
SH600791,0,0,0,0
SH600792,0,3,-7,-3
SH600793,0,0,-7,0
SH600794,0,0,-2,1
SH600795,-5,0,4,0
SH600796,1,6,6,-6
SH600797,-3,1,1,0
SH600798,-3,-1,2,-1
SH600800,3,5,-3,0
SH600801,7,-1,0,-1
SH600802,1,-2,4,0
SH600803,5,-7,1,0
SH600804,1,-5,-10,-1
SH600805,0,0,3,0
SH600806,0,-1,4,2
SH600808,8,3,1,1
SH600809,0,3,1,3
SH600810,0,3,-5,5
SH600811,0,3,9,1
SH600812,1,-8,-3,-1
SH600814,0,-5,0,-2
SH600815,0,-3,-1,1
SH600816,5,6,0,0
SH600817,-1,1,-3,-8
SH600818,1,2,0,-2
SH600819,0,5,4,2
SH600820,6,-2,-1,2
SH600821,3,4,-3,-1
SH600822,0,2,-2,7
SH600823,3,9,2,1
SH600824,0,3,-1,-1
SH600825,0,3,13,7
SH600826,0,2,1,4
SH600827,4,4,0,-1
SH600828,1,2,4,-4
SH600829,0,5,5,1
SH600830,0,-1,0,-2
SH600831,1,2,5,-3
SH600833,6,11,3,-1
SH600835,-1,2,0,-2
SH600836,0,7,1,-1
SH600837,3,7,0,1
SH600838,-1,-6,4,2
SH600839,-4,-4,-3,4
SH600841,0,-1,5,3
SH600843,0,-1,-8,2
SH600844,-1,-1,-2,-5
SH600845,0,6,5,10
SH600846,1,8,6,0
SH600847,0,8,3,2
SH600848,3,-5,1,2
SH600850,0,0,-11,0
SH600851,2,-6,3,0
SH600853,6,1,0,-2
SH600854,-1,1,0,3
SH600856,0,2,-3,2
SH600857,0,5,10,4
SH600858,0,-1,-6,0
SH600860,0,3,3,0
SH600861,0,5,1,3
SH600862,0,-5,-6,2
SH600863,1,-11,2,-1
SH600864,0,-2,11,4
SH600865,0,-3,-1,3
SH600866,0,-3,4,5
SH600867,1,14,7,-1
SH600868,1,-5,1,0
SH600869,0,-2,1,2
SH600870,0,6,-1,1
SH600871,0,-1,2,-4
SH600872,3,10,0,2
SH600873,-3,-1,-4,-1
SH600874,0,0,0,0
SH600875,-1,-4,-4,0
SH600876,0,-2,0,1
SH600877,-1,-6,-1,-1
SH600879,1,2,-2,0
SH600880,-1,0,-3,3
SH600881,0,0,1,0
SH600882,0,1,0,-5
SH600883,1,-1,-3,8
SH600884,-2,0,4,1
SH600885,-5,-3,-2,-1
SH600886,-4,-6,3,0
SH600887,-10,-5,1,1
SH600888,1,-2,4,4
SH600889,0,-3,6,0
SH600891,0,3,-10,-2
SH600892,0,5,0,0
SH600893,-2,5,-2,0
SH600894,-1,6,4,0
SH600895,0,-3,7,-1
SH600896,0,-2,-4,-1
SH600897,1,2,3,1
SH600898,0,1,7,3
SH600900,-11,-3,2,-1
SH600908,4,3,-1,-1
SH600909,5,0,0,0
SH600917,0,-1,-9,-1
SH600919,2,8,1,0
SH600926,7,-2,1,-1
SH600936,1,4,-2,2
SH600939,0,-8,-4,-3
SH600958,2,2,10,3
SH600959,-1,4,-1,-3
SH600960,0,-3,8,8
SH600961,0,2,-9,0
SH600962,0,-3,-6,4
SH600963,-1,0,-6,0
SH600965,0,-7,-2,0
SH600966,2,2,0,-1
SH600967,3,-2,-1,1
SH600969,-2,5,5,1
SH600970,8,0,0,1
SH600971,-2,-2,0,-1
SH600973,2,14,-2,1
SH600975,0,2,9,6
SH600976,0,1,10,8
SH600977,-3,1,-3,0
SH600978,1,3,-2,3
SH600980,0,5,-2,-4
SH600981,0,0,-1,-4
SH600982,1,2,6,2
SH600983,0,1,-2,-2
SH600984,1,-7,-1,2
SH600985,2,-1,0,0
SH600986,-1,-2,0,4
SH600987,2,0,2,1
SH600988,1,3,-4,-1
SH600990,1,8,2,-2
SH600992,0,3,-1,-3
SH600993,0,3,-5,1
SH600995,3,1,2,-1
SH600996,2,7,7,1
SH600997,0,0,0,0
SH600998,0,2,3,2
SH600999,3,2,1,-1
SH601000,0,0,0,0
SH601001,4,-6,-4,-1
SH601002,-5,-4,2,-2
SH601003,3,-2,0,0
SH601006,3,0,-4,0
SH601007,-2,-1,-1,-1
SH601008,-4,-3,2,0
SH601009,2,7,-1,-1
